,id,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
1,K23101,0.460206029,0.397098555,0.003774977,0.061440843,1,0.593081912,0.162393162,0.162393162,78
2,K23104,0.277042918,0.196608937,0.035801729,0.189213447,1,0.070853901,0.014492754,0.014492754,92
3,K23106,0.6670871,0.582644312,0.004263553,0.065295887,1,0.638999145,0.216049383,0.216049383,54
4,K23107,0.401468637,0.334943295,0.023858362,0.154461522,1,0.246986453,0.126436782,0.126436782,58
5,K23109,0.422029979,0.310481633,0.014171551,0.119044325,1,0.261049516,0.32967033,0.32967033,91
6,K23114,1.248386898,0.988380592,0.144876234,0.380626108,1,0.012893799,1.571428571,1.571428571,42
7,K23115,0.632397463,0.477584032,0.056305889,0.23728862,1,0.053180636,0.766169154,0.766169154,67
8,K23117,0.914324602,0.696459938,0.002914647,0.053987475,1,0.609265238,1.003623188,1.003623188,92
9,K23120,0.429519768,0.370994722,0.002947049,0.054286729,1,0.632460701,0.2,0.2,80
10,K23121,0.4301708,0.371429835,0.045540835,0.213402988,1,0.121285608,0.308641975,0.308641975,54
11,K23122,0.426186148,0.367282155,0.002242331,0.047353256,1,0.793566886,0.141414141,0.141414141,33
12,K23125,0.470944765,0.390578691,0.040239459,0.200597754,1,0.088817227,0.420091324,0.420091324,73
13,K23126,0.737195505,0.578746396,0.041079212,0.202680073,1,0.083298277,0.743243243,0.743243243,74
14,K23128,0.571365897,0.458850949,0.002446628,0.049463403,1,0.758756852,0.650406504,0.650406504,41
15,K23129,0.53855342,0.500883786,8.86407200020976e-07,-0.000941492,1,0.993559779,0.100877193,0.100877193,76
16,K23130,0.367050338,0.279793925,0.322244992,0.567666269,1,0.000305199,0.25,0.25,36
17,K23131,0.435549699,0.360812151,0.004378963,0.066173734,1,0.542545552,0.563218391,0.563218391,87
18,K23133,0.440667914,0.387054805,0.001230805,0.035082836,1,0.766659388,0.243243243,0.243243243,74
19,K23134,0.548641546,0.506113757,0.009713706,0.098558136,1,0.534620322,0.142857143,0.142857143,42
20,K23136,0.527779085,0.490589147,0.150220967,0.387583497,1,0.010231428,0.271317829,0.271317829,43
21,K23139,0.487993039,0.427363783,0.016053595,0.126702783,1,0.157430776,0.026455026,0.026455026,126
23,K23142,0.465897835,0.280011896,0.012415379,0.11142432,1,0.250943625,0.049382716,0.049382716,108
24,K23143,0.43548924,0.391318066,0.000541371,-0.023267374,1,0.791941237,0.043256997,0.043256997,131
25,K23144,0.495245079,0.431161692,0.000171098,0.013080431,1,0.880760846,0.23880597,0.23880597,134
26,K23145,0.507053899,0.412826481,0.045180082,0.212556068,1,0.10299396,0.233333333,0.233333333,60
27,K23147,0.491858544,0.444398039,0.002896818,-0.053822095,1,0.762412342,0.098039216,0.098039216,34
28,K23148,0.488250872,0.450126263,0.012493559,-0.111774588,1,0.416531658,0.127272727,0.127272727,55
29,K23150,0.497088995,0.413572727,0.000850606,0.029165146,1,0.81617991,0.404040404,0.404040404,66
30,K23151,0.556771815,0.416223958,0.100779366,0.31745766,1,0.010585328,0.489583333,0.489583333,64
31,K23153,1.004592539,0.836519444,0.045220637,0.212651444,1,0.213065449,1.425925926,1.425925926,36
32,K23155,0.283165833,0.223226869,0.133282172,0.36507831,1,0.002039767,0.072463768,0.072463768,69
33,K23156,0.816154808,0.709759012,5.94277121897307e-05,0.007708937,1,0.959916308,0.57037037,0.57037037,45
34,K23502,0.485876242,0.40498557,0.141429107,0.376070615,1,0.000749849,0.645021645,0.645021645,77
35,K23503,0.70012498,0.549639269,0.121768237,0.348953059,1,0.002480411,1.123287671,1.123287671,73
36,K23507,0.46416936,0.414423574,0.007073386,-0.084103426,1,0.476197558,0.193693694,0.193693694,74
37,K23508,0.601871462,0.481778472,0.021149787,0.145429662,1,0.284867722,0.339285714,0.339285714,56
38,K23509,0.556723328,0.462908902,0.077031307,0.277545145,1,0.008843998,0.863636364,0.863636364,88
39,K23510,0.638739316,0.52105029,0.020168241,0.142014933,1,0.154495333,0.830065359,0.830065359,102
40,K23517,1.100104492,0.896625312,0.0005726,0.023929052,1,0.838525291,1.457777778,1.457777778,75
41,K23521,1.532844792,1.294700762,0.214533307,0.463177403,1,0.000706058,2.06,2.06,50
42,K23526,0.862046545,0.692023773,0.073533557,0.271170716,1,0.011555172,0.88372093,0.88372093,86
43,K23529,0.698284918,0.509835417,0.033819103,0.183899709,1,0.210856653,1.020833333,1.020833333,48
44,K23531,0.829714278,0.682658781,0.064739055,0.254438705,1,0.167188218,1.225806452,1.225806452,31
45,K23532,0.467376243,0.341738148,0.113168131,0.336404713,1,0.069115932,0.433333333,0.433333333,30
46,K23533,0.784513396,0.631578626,0.010813964,0.103990213,1,0.381283088,1.168949772,1.168949772,73
47,K23536,0.585645586,0.51971037,0.072300983,0.268888421,1,0.037763254,0.2,0.2,60
48,K23537,0.589194693,0.459359929,0.106098915,0.325728284,1,0.001357004,0.936170213,0.936170213,94
49,K23540,0.788947207,0.618248007,0.031315159,0.176960898,1,0.209480553,1.179487179,1.179487179,52
50,K23541,0.571065607,0.477346159,0.452313652,0.672542677,1,8.8335602886459e-08,0.48,0.48,50
51,K23548,0.677946332,0.58208862,0.047766818,0.218556214,1,0.080277177,0.907692308,0.907692308,65
52,K23551,1.002117674,0.693931112,0.037704637,0.194176819,1,0.127278434,0.703703704,0.703703704,63
53,K23552,0.509981423,0.389552899,0.008915029,0.094419431,1,0.532524562,0.717391304,0.717391304,46
54,K23555,0.453019159,0.377516162,0.00030731,-0.017530259,1,0.888892211,0.368686869,0.368686869,66
55,K23556,1.343953847,1.292152991,0.0398645,0.199660964,1,0.222984585,1.846153846,1.846153846,39
56,K23557,0.6837017,0.487740045,0.089119671,0.29852918,1,0.012065361,0.828571429,0.828571429,70
57,K23559,0.57169815,0.449331233,0.119692364,0.345965842,1,0.000452223,0.666666667,0.666666667,99
58,K23563,0.658458824,0.464083785,0.08795583,0.296573481,1,0.023784605,0.925287356,0.925287356,58
59,K23565,1.623058251,1.537590476,0.045449122,0.213187996,1,0.085673667,2.313131313,2.313131313,66
60,KTFG534,0.773823861,0.596139883,0.281510571,0.530575697,1,2.10337600612689e-09,1.324324324,1.324324324,111
61,KTGF118,0.488995792,0.435610811,0.001415453,0.0376225,1,0.75030002,0.265765766,0.265765766,74
63,KTGF120,0.446445701,0.397266667,9.85505483563558e-05,-0.009927263,1,0.932634505,0.2,0.2,75
64,KTGF122,0.507963175,0.3855902,0.026194366,0.161846735,1,0.129700572,0.486891386,0.486891386,89
65,KTGF124,0.657960816,0.500258704,0.000596239,0.024417996,1,0.853080193,0.766666667,0.766666667,60
66,KTGF125,0.407848665,0.375765446,0.020255552,0.142322001,1,0.178380303,0.04029304,0.04029304,91
67,KTGF126,0.547076544,0.430531419,0.016160887,0.127125478,1,0.219578129,0.849122807,0.849122807,95
68,KTGF127,0.547566476,0.489742387,0.052099184,0.228252457,1,0.174220228,0.072072072,0.072072072,37
69,KTGF129,0.546121196,0.438823489,0.048059376,0.219224487,1,0.029246544,0.498316498,0.498316498,99
70,KTGF130,0.916684388,0.708086413,0.106845617,0.326872478,1,0.004205408,0.977777778,0.977777778,75
71,KTGF136,0.66882543,0.568486395,0.004166355,0.064547306,1,0.659483055,0.448979592,0.448979592,49
72,KTGF138,0.480872897,0.45132127,0.048556233,0.22035479,1,0.203374787,0.047619048,0.047619048,35
73,KTGF142,0.637012255,0.555413333,0.00838964,0.091594977,1,0.60076154,0.266666667,0.266666667,35
74,KTGF143,0.626873378,0.552979756,0.010663008,0.103261841,1,0.384645327,0.095890411,0.095890411,73
75,KTGF146,0.881777964,0.726609577,0.010052721,-0.100263257,1,0.475026077,0.295597484,0.295597484,53
76,KTGF147,0.524352698,0.463128211,0.001764382,0.042004542,1,0.716814248,0.181818182,0.181818182,77
77,KTGF148,0.558075217,0.500693439,0.016189714,0.127238808,1,0.195849646,0.152380952,0.152380952,105
78,KTGF150,0.353278215,0.281601389,0.002961175,0.054416677,1,0.614578937,0.363636364,0.363636364,88
79,KTGF153,0.466179813,0.408798753,0.016237338,-0.127425813,1,0.211164342,0.200680272,0.200680272,98
80,KTGF154,0.516526767,0.479025798,0.007700181,0.087750673,1,0.418971896,0.168582375,0.168582375,87
81,KTGF156,0.451597487,0.384121644,0.000402983,0.020074441,1,0.846072859,0.232638889,0.232638889,96
82,KTGF157,0.395927052,0.322336389,0.021286899,0.145900306,1,0.147498869,0.49,0.49,100
83,KTGF158,0.555333963,0.492322692,0.140975061,0.375466458,1,0.001253133,0.34741784,0.34741784,71
84,KTGF527,1.10895481,0.886864915,0.000484146,0.022003313,1,0.839690583,1.536398467,1.536398467,87
85,KTGF528,1.396708651,1.094705128,0.023171333,0.152221328,1,0.354914048,1.538461538,1.538461538,39
86,KTGF533,1.051352436,0.815276781,0.027071674,0.164534719,1,0.150008551,1.14957265,1.14957265,78
87,KTGF540,0.461909586,0.319614815,0.01327494,0.115216924,1,0.503407341,0.62962963,0.62962963,36
88,KTGF544,0.568678484,0.441185479,0.016224385,0.127374977,1,0.204317604,0.564356436,0.564356436,101
89,KTGF545,0.513994342,0.454995375,0.019034938,0.137967164,1,0.219338609,0.238683128,0.238683128,81
90,KTGF549,0.411627951,0.358634835,0.00687561,-0.082919299,1,0.625614619,0.225225225,0.225225225,37
91,KTGF550,0.797637178,0.595454321,0.001483991,-0.0385226,1,0.692232525,0.864197531,0.864197531,108
92,KTGF553,0.523200415,0.448966433,0.114325726,0.338120875,1,0.000804494,0.350877193,0.350877193,95
93,KTGF556,0.627091173,0.492692376,0.370647391,0.608808172,1,5.84428801327908e-08,0.974747475,0.974747475,66
94,KTGF557,0.785011496,0.601036696,0.000350939,0.018733355,1,0.872391892,0.899122807,0.899122807,76
95,KTGF561,0.513611396,0.460399432,0.065987621,0.256880558,1,0.015692546,0.143939394,0.143939394,88
96,KTGF562,0.725847322,0.549342707,0.021827151,0.147740148,1,0.130699471,0.789308176,0.789308176,106
97,KTGF565,0.470519657,0.364398429,0.009539211,-0.097668883,1,0.508987695,0.791666667,0.791666667,48
98,KTGF570,0.521285654,0.459488662,0.000579047,0.024063402,1,0.86963741,0.238095238,0.238095238,49
99,KTGF572,0.51290537,0.391691525,0.05598998,-0.23662202,1,0.071175066,0.689265537,0.689265537,59