"","Participant","R","R2","RMSE","MAE","MSE","R2_CD","P_Value"
"1","K23101",0.199410745011402,0.0397646452260023,0.341302456809737,0.234560379435379,0.116487367024363,0.0507148896223578,0.0800597199649629
"2","K23106",0.103406356244271,0.010692874511717,0.275264106668953,0.14868253968254,0.075770328420257,-0.0842733996938776,0.456818223223563
"3","K23107",-0.0427808896877161,0.00183020452247253,0.377851478896926,0.28054255651515,0.142771740104594,-0.0703024326208359,0.749830320008272
"4","K23109",-0.0388220906286194,0.00150715472077674,0.543395448050039,0.381313154879354,0.295278612961503,-0.0379106610106053,0.714844632559768
"5","K23114",0.530855400001401,0.281807455710647,0.93961711104081,0.764769182116473,0.882880315360679,0.284218501388376,0.000298338112975142
"6","K23115",0.0767289842612089,0.00588733702575685,0.893927600749055,0.677401388524655,0.799106555380963,-0.0308194830497719,0.537138877232527
"7","K23117",-0.059363266994163,0.00352399746822028,1.16069125598181,0.963497046669803,1.34720419171264,-0.0572547331288167,0.57404555378479
"8","K23120",0.257149054048538,0.066125635998058,0.396734772129472,0.316880274951875,0.157398479416624,0.0711873110055428,0.0212967830878303
"9","K23121",0.234962509818427,0.0552073810201745,0.645599920673633,0.480000511888257,0.416799257573801,0.0222299383801493,0.087220023490174
"10","K23122",-0.208922857765529,0.0436487604969155,0.541814317466649,0.354022113507193,0.29356275461185,-0.504865382864632,0.243280872078288
"11","K23125",-0.106747769085089,0.0113950862046434,0.876650178582693,0.740723517657825,0.768515535609067,-0.0448312610349855,0.368714707626073
"12","K23126",0.279018134833171,0.0778511195657815,1.12564550500265,0.910070130063551,1.26707780293267,0.088823976112581,0.0160682526798603
"13","K23128",-0.083242537778052,0.0069293200957304,1.39488168518363,1.1904647942037,1.94569491566072,-0.0736674500954153,0.604857242491561
"14","K23131",0.25347417107217,0.0642491554007237,0.711649469906503,0.557159455342675,0.506444968018207,0.070357887460201,0.0178420516280131
"15","K23133",-0.260225541136571,0.0677173322598214,0.90459670056459,0.740688642698937,0.818295190672343,-0.142525360561385,0.0251453036782976
"16","K23134",-0.188381396597489,0.0354875505840205,0.555965492717408,0.38000018037518,0.30909762909251,-0.144658316768391,0.232188578664272
"17","K23136",0.372027063678293,0.138404136109093,1.05150041101633,0.841663578992067,1.1056531143675,0.114889395147292,0.0140279202823394
"18","K23144",0.00751675615252574,5.65016230565328e-05,0.856705578822475,0.688822362490329,0.733944448785552,-0.0250260924893106,0.931308411998071
"19","K23145",0.00531343369185109,2.82325775976985e-05,0.537522635809891,0.321937197683005,0.288930584008012,-0.04368802794731,0.967860210354987
"20","K23147",-0.14326181314288,0.0205239471049854,0.59384946503595,0.432208489492053,0.352657187123484,-0.150236523117874,0.418924237496794
"21","K23148",0.247753167854525,0.0613816321819524,0.467695589295318,0.320533130268424,0.218739164246295,0.0771941508359398,0.0681925725303324
"22","K23150",-0.079959533395911,0.0063935269808918,0.941837376537502,0.817085116740454,0.887057643843043,-0.114015600727943,0.523339687640669
"23","K23151",0.163950098623615,0.0268796348386932,1.03748128347107,0.766261105059049,1.07636741355279,0.00915218916784355,0.195482469024973
"24","K23153",-0.122785819959905,0.0150763575832263,0.891719313176604,0.682386961745876,0.795163333492155,-0.0579786696938911,0.47558500309173
"25","K23156",0.0344766257749717,0.00118863772482744,0.874849782700543,0.757449571315624,0.765362142291187,-0.0933744889874104,0.822107759721218
"26","K23502",0.112519844354784,0.0126607153736247,0.759827788417411,0.608773941403095,0.577338268051294,0.0016006073770175,0.32990435240537
"27","K23503",0.0945525991510845,0.00894019400622566,0.992507697786539,0.829898362976445,0.985071530165536,0.0104097930905852,0.426206864096978
"28","K23507",-0.096275101148586,0.00926889510117048,0.410410351159914,0.273407044471123,0.168436656339204,-0.0819201159861818,0.414507014761011
"29","K23508",-0.122357972355269,0.0149714733988929,0.779612187947884,0.604242968192522,0.607795163596886,-0.131123325606289,0.368986458712064
"30","K23509",0.168634547668783,0.0284376106674551,0.891060325744988,0.770664626096858,0.793988504116764,0.0256810406286359,0.116279307305605
"31","K23510",-0.051169184485004,0.00261828544086038,0.982417909607383,0.826084733295027,0.96514494911734,-0.0658080465008923,0.609526760549202
"32","K23517",0.161482210483819,0.0260765043027403,1.09341996432328,0.905244993783994,1.19556721838071,0.014642402433478,0.166330614573778
"33","K23521",0.0335234010587957,0.00112381841854886,1.20194104380721,0.999815844273261,1.44466227278837,-0.0468567194118605,0.817225024171018
"34","K23526",0.078887382872534,0.00622321917647776,1.08406409027502,0.917221581989981,1.17519495182381,-0.0212405014065686,0.470298981259997
"35","K23529",0.153235208397201,0.0234810290925336,1.19381243341104,0.948507818806596,1.42518812616679,0.0419474336614212,0.298425041379219
"36","K23531",-0.0955065588197839,0.00912150277759684,1.0496123854839,0.878058490980817,1.10168615976119,-0.0739707846728619,0.609297363982109
"37","K23532",-0.21384731127016,0.0457306725374764,0.812821971638887,0.704849197191697,0.660679557578927,-0.0948404097022224,0.256498003730384
"38","K23533",0.177484163304274,0.031500628223818,0.824163191558398,0.673584342950569,0.679244966319724,0.0154132534538131,0.133043793990059
"39","K23536",0.226519416260369,0.0513110459429383,0.529790720652709,0.308878713369963,0.280678207689717,0.0590900992219712,0.0817883051078412
"40","K23537",0.403354424505506,0.162694791768168,0.863478863630319,0.717210293644752,0.745595747936307,0.168304449603266,5.55417631108094e-05
"41","K23540",0.0567819612564525,0.00322419112412928,0.794933192443838,0.615653139519093,0.631918780448952,-0.0402536348545144,0.68928186173722
"42","K23541",0.271017964290868,0.0734507369683661,0.529884569109675,0.339941257703081,0.280777656580546,0.0900724092297132,0.0569474713175217
"43","K23548",-0.0856940591532255,0.00734347177415651,0.902368005461574,0.685435167803539,0.814268017280699,-0.0467722348231483,0.497307517640831
"44","K23551",-0.0290848654192117,0.000845929396453657,1.12574085985814,0.89845983958397,1.26729248355415,-0.0438727205319542,0.82098446520524
"45","K23552",0.0271217797204719,0.0007355909352058,1.17671814577638,1.00302472865262,1.38466559459939,-0.0189327340279932,0.858001066322834
"46","K23555",-0.279123347656912,0.0779098432072012,0.662842399682277,0.600631338442702,0.43936004681656,-0.0801459030619158,0.0232321432682779
"47","K23556",-0.141977361973396,0.0201575713129248,0.330326096455846,0.151628930508908,0.109115329999757,-0.0638744674976288,0.388588268051642
"48","K23557",0.186571927405624,0.0348090840958494,0.804090682824788,0.615115927767377,0.646561826205633,0.0420571716033108,0.121988757108625
"49","K23559",0.516578744196111,0.266853598955231,0.780213183405692,0.639039730639731,0.608732611560045,0.274099828250301,4.41286880409949e-08
"50","K23563",0.166271409549116,0.0276461816334499,0.789592463187617,0.571201024309605,0.623456257922688,0.0368474819194379,0.212241900676266
"51","K23565",0.059677838721898,0.00356144443451686,0.900644393017744,0.755262924715576,0.8111603226743,-0.00545443059021999,0.634084146777837
"52","KTFG534",0.184774205305672,0.0341415069463426,1.1274600245934,0.918101468734646,1.27116610705615,0.0369236679600664,0.0522059342519561
"53","KTGF118",0.122827711337233,0.0150866466723427,0.873820739223633,0.721753976653977,0.763562684297337,-0.0392455582197568,0.297147721388597
"54","KTGF120",-0.0189305004249128,0.000358363846337624,0.531587888584291,0.403794592592593,0.282585683289505,-0.0625681180601281,0.871932904181999
"55","KTGF122",-0.0551892966931226,0.0030458584694815,0.66888095084242,0.578446712792749,0.44740172639986,-0.0354758632280443,0.60747133437505
"56","KTGF124",-0.0981327637383757,0.00963003931893187,0.913979036724796,0.683846183769934,0.835357679572385,-0.0490124816198101,0.45569995132952
"57","KTGF126",-0.0800838673687499,0.00641342581273553,0.564125928492592,0.373117691747909,0.318238063197629,-0.0830281647693676,0.440429597720774
"58","KTGF129",0.355665503296441,0.126497950235111,0.986523692649848,0.832128192673823,0.973228996159492,0.128298770241931,0.000302950920715402
"59","KTGF130",0.169921868131215,0.0288734412692021,0.915453217122693,0.727089415214415,0.838054592740289,0.0277585723853251,0.144985994231061
"60","KTGF136",-0.0094092718971815,8.85343976350896e-05,0.248880298183784,0.109744638837302,0.0619414028240493,-0.0556969524794486,0.948838084043839
"61","KTGF142",0.00876433181805396,7.68135122169531e-05,0.589263714509406,0.484024292933957,0.347231725237423,-0.0227865174072612,0.960147653165075
"62","KTGF143",-0.100405065927772,0.0100811772639603,0.452649565692722,0.29845644036329,0.20489162932181,-0.0516703161283529,0.39800284134437
"63","KTGF146",0.00509272649813404,2.59358631847965e-05,0.837295899434243,0.598861143182613,0.701064423209398,-0.0158430864169841,0.971129469511641
"64","KTGF147",-0.103963149018284,0.010808336353798,0.570795538664244,0.49690812659923,0.325807546959004,-0.0663455060425542,0.368230441208985
"65","KTGF148",0.00488738431672282,2.38865254593481e-05,0.534298676046404,0.466359627885342,0.28547507522494,-0.0241090083627933,0.960535512263063
"66","KTGF150",0.150553322359295,0.0226663028734217,0.521284897596182,0.477810047108378,0.271737944461862,0.0107343305753589,0.161478539076499
"67","KTGF153",0.130940145491586,0.0171453217013576,0.76466115218321,0.627186530260735,0.584706677658154,-0.00455840914845762,0.198739597736792
"68","KTGF154",0.00731678449337266,5.3535335322459e-05,0.630998929788335,0.451679168147488,0.398159649394024,-0.0125868445839894,0.946374550639718
"69","KTGF156",0.21667678965083,0.0469488311733901,0.645781202559972,0.571229227665599,0.417033361579803,0.0557735209513877,0.0339689600332411
"70","KTGF157",0.328827254246647,0.108127363135389,0.743150512603576,0.574543143612379,0.552272684382958,0.11514815093198,0.000836788094069832
"71","KTGF158",0.231860053415677,0.0537590843699207,0.739171870364861,0.500274296108016,0.546375053938687,0.0623328666867151,0.051701361667723
"72","KTGF527",-0.097626751012587,0.00953098251327366,1.18471477790853,0.953550529164322,1.40354910499487,-0.0605286208414055,0.368342511746942
"73","KTGF528",0.0326838912845735,0.00106823674950182,1.14729959304413,0.945239338134341,1.31629635619923,-0.00244152101092254,0.843418576476172
"74","KTGF533",0.400335253318426,0.160268315049528,1.30773893184668,1.0870708994709,1.71018111386749,0.163298487301389,0.000281542903898641
"75","KTGF540",-0.409833585820467,0.167963568066462,0.786858304885515,0.678611256798757,0.619145991967306,-0.147241102762948,0.0130520491617408
"76","KTGF544",0.115887834037543,0.013429990077913,0.789218103792753,0.504022506536368,0.622865215354229,-0.0209248093277676,0.248477771014728
"77","KTGF545",-0.174887925043895,0.0305857863261591,0.896319062012695,0.65635475566957,0.803387860927317,-0.0913948299389948,0.118384994755265
"78","KTGF549",0.535198205731987,0.286437119418739,0.419124114294541,0.224214414414414,0.175665023183183,0.29944368,0.000642307851186777
"79","KTGF550",0.218107068771827,0.0475706934482383,1.19116337560363,1.04101989462259,1.41887018737943,0.0495905468724391,0.0233515399814373
"80","KTGF553",0.240748858311233,0.0579600127781623,0.878639893451477,0.710507752715121,0.772008062364424,0.0650892328567532,0.0187661353339078
"81","KTGF556",0.265978257038104,0.0707444332170275,0.734965450653667,0.550683942782806,0.540174213654548,0.0836902425551559,0.0308829459384089
"82","KTGF557",0.193054186177372,0.0372699188006076,1.0938522710623,0.939513480744402,1.19651279090815,0.0495926828070711,0.0947467943040318
"83","KTGF561",-0.155569996830224,0.0242020239137559,0.540742840236766,0.363249160127115,0.292402819267325,-0.0726573954531105,0.147802438304994
"84","KTGF562",-0.137521801536028,0.0189122458977147,1.20169178129838,0.989181190568932,1.44406313724006,-0.0818080849082519,0.159791089446297
"85","KTGF565",-0.0231829365139344,0.000537448545409114,0.684393310546261,0.547617968514186,0.468394203520471,-0.0652190757481668,0.875715189525945
"86","KTGF572",-0.327756909962889,0.107424592028421,0.680924362996156,0.610980684282965,0.46365798812172,-0.187603020473448,0.0112734763137714
